Category,ID,Latitude,Longitude
shrub,147,40.05334233,-105.5858426
shrub,148,40.05321237,-105.5860488
shrub,149,40.05311869,-105.5849891
shrub,150,40.05324751,-105.5849242
shrub,151,40.05296891,-105.5850256
shrub,152,40.05309249,-105.5848328
shrub,153,40.05326066,-105.5832707
shrub,154,40.05313391,-105.5833348
shrub,155,40.05325458,-105.5835058
shrub,156,40.05309833,-105.5835409
shrub,157,40.0529613,-105.583468
shrub,158,40.05302487,-105.5836767
shrub,159,40.05310772,-105.5839878
shrub,160,40.05287123,-105.5839878
shrub,161,40.05261294,-105.5838575
shrub,162,40.05268011,-105.5837724
shrub,163,40.05259411,-105.583951
shrub,164,40.05268083,-105.5835689
shrub,165,40.05253,-105.5833742
shrub,166,40.0526122,-105.5835089
shrub,167,40.05257891,-105.5835763
shrub,168,40.05243869,-105.5841609
shrub,169,40.05235431,-105.5842882
shrub,170,40.05242225,-105.5844143
shrub,171,40.05227347,-105.5843736
shrub,172,40.05224504,-105.5844184
shrub,173,40.05214408,-105.5843035
shrub,174,40.05219518,-105.5842791
shrub,175,40.05209277,-105.584559
shrub,176,40.05212448,-105.5844465
shrub,177,40.05190256,-105.5842967
shrub,178,40.05192747,-105.5841062
shrub,179,40.05186794,-105.5841767
shrub,180,40.0518245,-105.5844189
shrub,181,40.05179765,-105.5841887
shrub,182,40.05178328,-105.5842748
shrub,183,40.05176083,-105.5844315
shrub,184,40.05167704,-105.5842733
shrub,185,40.05161043,-105.584419
shrub,186,40.05164502,-105.5841257
shrub,187,40.05182064,-105.5839684
shrub,188,40.05225251,-105.5851692
shrub,189,40.05207164,-105.585119
shrub,190,40.0520445,-105.5849454
shrub,191,40.05194182,-105.5849314
shrub,192,40.05195356,-105.5852012
shrub,193,40.05183075,-105.5849793
shrub,194,40.0519142,-105.5850967
shrub,195,40.05196252,-105.5849665
shrub,196,40.05176741,-105.5850498
shrub,197,40.05188872,-105.5853193
shrub,198,40.05177707,-105.5852711
shrub,199,40.05185581,-105.5851209
shrub,200,40.05195484,-105.5855144
shrub,201,40.05187037,-105.585575
shrub,202,40.05194104,-105.5852856
shrub,203,40.05180911,-105.5856941
shrub,204,40.05198455,-105.5854358
shrub,205,40.05146675,-105.5857192
shrub,206,40.05157891,-105.585429
shrub,207,40.05153637,-105.5853021
shrub,208,40.05146491,-105.5853418
shrub,209,40.05149563,-105.5850924
shrub,210,40.05140018,-105.5851342
shrub,211,40.05137948,-105.5849438
shrub,212,40.05158613,-105.5846693
shrub,213,40.05172753,-105.5852604
shrub,214,40.05160685,-105.5855984
shrub,215,40.05457763,-105.582568
shrub,216,40.05450362,-105.5824207
shrub,217,40.05433378,-105.5823014
shrub,218,40.05470037,-105.5819775
shrub,219,40.05474174,-105.5817511
shrub,220,40.05458625,-105.5817155
shrub,221,40.05470796,-105.5816948
shrub,222,40.0546511,-105.5808135
shrub,223,40.05460985,-105.5806069
shrub,224,40.05451561,-105.5807187
shrub,225,40.05441762,-105.5806427
shrub,226,40.05439611,-105.580455
shrub,227,40.05445778,-105.5802216
shrub,228,40.05452719,-105.5802736
shrub,229,40.05412345,-105.5819025
shrub,230,40.05402604,-105.5815662
shrub,231,40.0542596,-105.5820095
shrub,232,40.05432998,-105.5819804
shrub,233,40.05390231,-105.5818479
shrub,234,40.05372635,-105.5814868
shrub,235,40.05356724,-105.5811825
shrub,236,40.05373279,-105.5818004
shrub,237,40.05354836,-105.58171
shrub,238,40.05341479,-105.5819009
shrub,239,40.05331217,-105.5817516
shrub,240,40.05337091,-105.5814331
shrub,241,40.05325663,-105.5815466
shrub,242,40.05324314,-105.5820623
shrub,243,40.0530037,-105.5816758
shrub,244,40.05298205,-105.5815229
shrub,245,40.05290845,-105.5812825
shrub,246,40.05278451,-105.5816656
shrub,247,40.05294208,-105.5816461
shrub,248,40.05307815,-105.581346
shrub,249,40.05309222,-105.5810784
shrub,250,40.05295797,-105.5809157
shrub,251,40.05498816,-105.5973527
shrub,252,40.05482024,-105.5974378
shrub,253,40.05498787,-105.5972406
shrub,254,40.05514517,-105.5975674
shrub,255,40.05507549,-105.5984181
shrub,256,40.05522711,-105.5986359
shrub,257,40.05522748,-105.5989402
shrub,258,40.05520568,-105.5989311
shrub,259,40.05509984,-105.5990507
shrub,260,40.05477756,-105.5998232
shrub,261,40.05515583,-105.6001698
shrub,262,40.05535635,-105.6001853
shrub,263,40.05510204,-105.600758
shrub,264,40.05499968,-105.6002981
shrub,265,40.0554476,-105.5999401
shrub,266,40.05512706,-105.6005917
shrub,267,40.05537842,-105.6008471
shrub,268,40.05542401,-105.6004158
shrub,269,40.05572991,-105.5994126
shrub,270,40.05568951,-105.5993158
shrub,271,40.05556736,-105.5996424
shrub,272,40.05537172,-105.5999408
shrub,273,40.05525701,-105.6001075
shrub,274,40.05467458,-105.6008207
shrub,275,40.05499211,-105.6008906
